Time,X,N,q,YII,f
0,0.18,35,80,0.5438412,12
10,0.31898978,28.506624,65.49858,0.5428261,19.49609
20,0.4748362,18.21445,65.67644,0.54285455,17.191715
30,0.64045006,4.373243,70.30487,0.5433949,12.002125
40,0.8073037,2.72E-08,61.19135,0.541875,17.54921
50,0.9606971,0,51.420998,0.5358662,24.08521
60,1.1006093,9.5E-18,44.88423,0.52418864,28.457949
70,1.2281624,2.29E-24,40.222694,0.50696653,31.576189
80,1.3444283,2.52E-33,36.744244,0.48548475,33.902977
90,1.4503946,0,34.0597,0.46141288,35.698673
100,1.5469639,0,31.93352,0.43628445,37.12085
110,1.6349598,0,30.214811,0.41127872,38.27046
120,1.7151333,0,28.802427,0.38719565,39.215157
130,1.7881691,0,27.626022,0.36451733,40.002007
140,1.854692,0,26.635153,0.34349102,40.664753
150,1.9152716,0,25.792686,0.3242041,41.22823
160,1.9704286,0,25.070688,0.3066422,41.71113
170,2.020638,0,24.447723,0.29073068,42.12779
180,2.0663342,0,23.907072,0.27636233,42.489388
190,2.107914,0,23.435493,0.26341534,42.80479
200,2.1457398,0,23.022364,0.25176448,43.081097
210,2.1801436,0,22.65906,0.24128774,43.324078
220,2.2114282,0,22.338507,0.2318698,43.538467
230,2.2398705,0,22.054846,0.22340398,43.72818
240,2.2657242,0,21.803185,0.21579279,43.896492
250,2.2892199,0,21.579405,0.20894802,44.046154
260,2.310569,0,21.380016,0.20279017,44.179504
264,2.3185513,0,21.306408,0.20050316,44.228733
