Time,X,X-STD,N,N-STD,YII,YII-STD,q,Q-STD,F,F-STD
0,0.168,0.010954451,24.56,0.654217089,0.555,0.007071068,79.4,2.2627417,111.5414196,7.010255451
12,0.412,0.013157697,16.44,0.95289034,0.53425,0.001258306,54.7,2.828427125,265.0977777,0.655484471
24,0.6234,0.078662571,1.46,0.79246451,0.5575,0.005196152,57.2,0.565685425,258.3887034,5.191407855
36,0.9114,0.048680592,0,,0.50325,0.017289207,44.25,1.626345597,288.6012966,13.15267081
48,1.121,0.048913188,0,,0.49725,0.010904892,35.2,0.565685425,335.7545436,3.6565086
60,1.25,0.065192024,0,,0.45525,0.007041543,30.8,0.707106781,386.8327042,5.385524474
72,1.376,0.047749346,0,,0.41425,0.025355801,28.15,1.060660172,414.5902606,3.369763963
84,1.491,0.028809721,0,,0.38025,0.036536511,25.45,0.070710678,439.5072235,11.96456015
96,1.547,0.039937451,0,,0.3295,0.047836527,26,1.555634919,432.8440875,1.555130079
108,1.616,0.045607017,0,,0.27975,0.05287958,24.45,0.070710678,446.6647785,0.944056661
120,1.6466,0.057164674,0,,0.2525,0.041064989,23.15,0.070710678,449.8932337,7.314839631
132,1.73,0.034641016,0,,0.22675,0.031020155,22.45,0.070710678,449.0801251,5.437184738
144,1.744,0.043358967,0,,0.21275,0.016276261,22.4,0.141421356,448.1158111,7.906282274
156,1.752,0.088430764,0,,0.20575,0.019259197,21.95,0.212132034,451.0622007,0.769130603
168,1.716,0.159154013,0,,0.1995,0.012233833,22.5,1.13137085,447.8502476,10.44908182
180,1.754,0.170967833,0,,0.19325,0.016459546,22.45,0.919238816,449.3831673,20.25496108
192,1.746,0.202188031,0,,0.193,0.014764823,22.45,2.192031022,437.7718932,19.67466151
204,1.796,0.238809548,0,,0.18825,0.018589872,22.35,2.333452378,432.920002,18.67589334
216,1.86,0.239269722,0,,0.186,0.029810513,22.1,2.545584412,431.9650998,17.03280295
228,1.868,0.275535842,0,,0.17825,0.032159757,22.65,2.899137803,423.909181,14.53433881
240,1.912,0.345427272,0,,0.17725,0.039861218,23.05,3.040559159,419.6725617,24.90950896
252,1.906,0.357113427,0,,0.175,0.044907312,23.35,3.74766594,410.4663661,15.60705954
